"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Rhode Island,Season 2022-23,14622,59,171,1383,2,33,0,0
States,South Carolina,Season 2022-23,789,69,97,60,1,2,0,0
States,South Dakota,Season 2022-23,499,164,98,15,1,12,0,0
States,Tennessee,Season 2022-23,646,130,123,13,1,4,0,0
States,Texas,Season 2022-23,4082,193,263,11,56,8,0,0
States,Utah,Season 2022-23,1119,190,321,0,0,35,0,0
States,Vermont,Season 2022-23,163,15,82,2,0,0,0,0
States,Virginia,Season 2022-23,1461,41,118,16,0,1,0,0
States,Washington,Season 2022-23,9710,292,596,155,4,30,0,0
States,West Virginia,Season 2022-23,619,221,253,11,0,15,0,0
States,Wisconsin,Season 2022-23,2443,165,567,42,4,15,0,0
States,Wyoming,Season 2022-23,2905,59,123,188,11,4,0,0
States,American Samoa,Season 2022-23,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2022-23,624,41,262,19,0,48,0,0
States,Virgin Islands,Season 2022-23,X,X,X,X,X,X,X,X
States,New York City,Season 2022-23,X,X,X,X,X,X,X,X
States,Alabama,Season 2023-24 ,65,15,2,4,0,11,0,0
States,Alaska,Season 2023-24 ,21,4,0,0,0,0,0,0
States,Arizona,Season 2023-24 ,1513,334,23,4,2,55,0,0
States,Arkansas,Season 2023-24 ,632,13,25,78,4,15,0,0
States,California,Season 2023-24 ,3406,1036,201,111,34,64,0,0
States,Colorado,Season 2023-24 ,374,171,47,3,5,100,0,0
States,Connecticut,Season 2023-24 ,1324,293,49,35,3,19,0,0
States,Delaware,Season 2023-24 ,914,232,43,26,2,25,0,0
States,District of Columbia,Season 2023-24 ,550,169,47,11,1,11,0,0
States,Florida,Season 2023-24 ,1239,461,119,20,7,297,0,0
States,Georgia,Season 2023-24 ,1530,305,42,312,2,135,0,0
States,Hawaii,Season 2023-24 ,903,241,82,11,8,66,0,0
States,Idaho,Season 2023-24 ,447,235,31,6,0,75,0,0
States,Illinois,Season 2023-24 ,2312,82,43,77,10,26,0,0
States,Indiana,Season 2023-24 ,115,16,18,1,0,7,0,0
States,Iowa,Season 2023-24 ,373,118,103,12,5,93,0,0
States,Kansas,Season 2023-24 ,201,6,7,7,3,6,0,0
States,Kentucky,Season 2023-24 ,375,141,32,1,1,90,0,0
States,Louisiana,Season 2023-24 ,1428,148,5,9,13,86,0,0
States,Maine,Season 2023-24 ,378,292,37,0,0,18,0,0
States,Maryland,Season 2023-24 ,283,10,11,43,5,2,0,0
States,Massachusetts,Season 2023-24 ,438,214,59,1,0,0,0,0
States,Michigan,Season 2023-24 ,700,241,62,2,10,52,0,0
States,Minnesota,Season 2023-24 ,1179,471,278,50,7,75,0,0
States,Mississippi,Season 2023-24 ,114,2,0,27,4,9,0,0
States,Missouri,Season 2023-24 ,374,105,15,6,0,9,0,0
States,Montana,Season 2023-24 ,324,122,80,1,1,59,0,0
States,Nebraska,Season 2023-24 ,317,39,11,16,8,22,0,0
States,Nevada,Season 2023-24 ,5028,264,56,1278,284,69,0,0
States,New Hampshire,Season 2023-24 ,970,350,46,56,2,11,0,0
States,New Jersey,Season 2023-24 ,261,79,14,11,6,0,0,0
States,New Mexico,Season 2023-24 ,940,246,31,5,1,22,0,0
States,New York,Season 2023-24 ,5485,158,53,187,11,16,0,0
States,North Carolina,Season 2023-24 ,224,101,2,3,1,12,0,0
States,North Dakota,Season 2023-24 ,249,144,33,3,0,29,0,0
States,Ohio,Season 2023-24 ,349,240,52,0,1,32,0,0
States,Oklahoma,Season 2023-24 ,94,0,2,0,0,2,0,0
States,Oregon,Season 2023-24 ,1652,6,4,1,0,0,0,0
States,Pennsylvania,Season 2023-24 ,10910,375,70,52,2,42,0,0
States,Rhode Island,Season 2023-24 ,2536,135,8,227,31,62,0,0
States,South Carolina,Season 2023-24 ,637,195,12,20,17,200,0,0
States,South Dakota,Season 2023-24 ,184,53,22,25,18,48,0,0
States,Tennessee,Season 2023-24 ,286,13,24,3,2,33,0,0
States,Texas,Season 2023-24 ,951,218,22,4,58,103,0,0
States,Utah,Season 2023-24 ,549,222,40,0,1,120,0,0
States,Vermont,Season 2023-24 ,150,73,50,4,0,0,0,0
States,Virginia,Season 2023-24 ,634,91,15,5,0,5,0,0
States,Washington,Season 2023-24 ,945,182,17,17,3,14,0,0
States,West Virginia,Season 2023-24 ,409,196,64,0,0,75,0,0
States,Wisconsin,Season 2023-24 ,1117,230,173,14,5,58,0,0
States,Wyoming,Season 2023-24 ,461,31,2,27,11,18,0,0
States,American Samoa,Season 2023-24 ,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2023-24 ,328,176,4,3,0,46,0,0
States,Virgin Islands,Season 2023-24 ,X,X,X,X,X,X,X,X
States,New York City,Season 2023-24 ,X,X,X,X,X,X,X,X
